"","V1","V2","bindtext"
"t_title935","影／柯P又來當「派出所長」 坐鎮1個多小時看公文","2018-03-24 23:09","   台北市長柯文哲為整頓風紀案出奇招，上周四天來中山警分局中山一派出所坐鎮，今天再度來到派出所，從晚間8點50分坐到10點25分才步出派出所，被記者問及「坐鎮派出所的行動會持續多久？」柯神情嚴肅，不發一語，有民眾發現他，立即大叫「市長好！」他也親切地跟民眾揮手致意，隨即坐車離去。 中山一派出所本月12日發生員警涉包庇酒店媒介性交易的嚴重風紀案，所長及三名員警涉貪，於14日下午遭法院裁定收押，柯從14日晚間連續四天「秘密進駐」中山一派出所，希望藉由「出怪招」整頓警察風紀，原本傳出被幕僚勸退，不會再來，但今晚又突然現身派出所。 柯文哲今天一身輕便，在派出所二樓用手機和平板看公文，不時請幕僚幫忙查市政相關資料，員警見到柯文哲，趕緊奉茶，但柯並未與員警多交談，就專注看公文，員警們都已習慣，多專注在自己的工作，數名民眾前來報案，都不知柯文哲在樓上。 資深員警說，柯市長一個多禮拜來了五天，應該能感受到派出所忙碌的氣氛，員警多專注在自己的工作，希望柯能再度相信員警。柯文哲再度現身中山一派出所，見到記者神情驚訝。記者李承穎／攝影分享  facebook   柯文哲再度現身中山一派出所，見到記者神情驚訝。記者李承穎／攝影分享  facebook   柯文哲現身中山一派出所，坐鎮一小時才離去。記者李承穎／攝影分享  facebook   "
"t_title936","強拆公投盟帳篷 柯文哲：國家不能沒秩序","2018-03-24 11:04","  公投盟長期搭設在立院外的帳篷昨天被北市府強行拆除，台北市長柯文哲今被問及為何突然下該決定，是否為政治考量要討好統派？柯文哲回應，他不需要討好任何人，因為昨天昨天上午開治安會報，他問警察局，松菸槍擊案三次的幕後主使人找到了沒有？警察局回應還沒找到。 他又問上次一例一休大遊行，妨礙交通的抓到幾個？警察局回覆表示提報5個。他再問中山一派出所為什麼有四個員警被收押，接著突然問了在場單位，立法院外面圍牆外的抗爭站多久了？ 後來下面的可能被K到最後受不了，就跑出去拆了。 媒體追問是否會擔心此舉引起深綠的不滿，柯文哲回應「不會啦」， 他強調對於陳抗還是要依法行政，不能不申請就來佔領馬路，這樣他也不同意。對於蔡丁貴指是因為他要參選台北市長，所以才被拆帳篷，柯文哲笑回，他問了新工處，結果是倒過來，是市政府通知他要拆之後，他才宣布要參選。 目前立法院外的陳抗團體還有包括八百壯士等團體，是否將一起處理？柯文哲表示，這些都會會統一處理，一切依法行政。媒體追問，對於西門町也有統派團體插旗，是否也會處理？柯文哲回應，完全要按照目前的法令，不申請就拆，「這個國家不能繼續這樣沒有秩序」。 是否會擔心這樣會升高統派的怒氣？柯文哲說，「如果怕統派生氣、獨派生氣，那什麼事都不要做了」。 他一再強調這個國家不能這樣，完全沒有秩序，法律是給人民遵守的，不是給人民參考用的。 雖然公投盟在立院外紮營是前任市長就開始，柯文哲對此表示，不會批評別人，他自己也上任三年了，但是台北市要處理的事情很多。最近警察局和新工處對於陳抗將討論SOP，不能沒有規則。至於被公投盟指控是中國在台灣的代言人， 柯文哲表示，這個不會，沒有那麼嚴重這樣說就是口水了。台北市長上午與企業領袖座談。記者莊琇閔/攝影分享  facebook   "
"t_title937","整頓警察出怪招 柯文哲跑到派出所「批公文」",NA," 柯文哲出奇招，進駐派出所整頓風紀。 圖／聯合報系資料照片facebook 每天忙得嗡嗡嗡的台北市長柯文哲，最近還兼職當派出所所長；不是角色扮演，而是真的進駐派出所，且一連四個晚上，最久待了三小時，讓上任沒多久的市警局長陳嘉昌幾乎嚇到吃手手。  柯Ｐ進駐派出所，不是為了基層員警的年輕選票，而是因為中山警分局中山一派出所本月12日發生員警涉包庇酒店媒介性交易的嚴重風紀案，所長及三名員警涉貪，於14日下午遭法院裁定收押，柯市長14日當晚就「秘密進駐」中山一派出所。  據了解，14日晚間，北市警察局長陳嘉昌出席一場餐會，剛敬了在座賓客一杯酒水，只見幕僚匆忙跑上前咬耳朵。陳嘉昌得知市長大人已在中山警分局中山一派出所巡查，立刻向在座人士說抱歉，趕到派出所陪同。之後，柯文哲又連續三日在未告知陳嘉昌情況下，由隨扈陪同到中山一派出所。 中山一派出所本月爆發風紀案時，外頭聚集大批媒體。 圖／聯合報系資料照片facebook  柯文哲總是向派出所內的員警說：「不需要招呼我，你們繼續做事。」隨即上二樓辦公室，獨自批改自己帶去的公文，公文批完了後就自顧自地看書。所內員警見了「大長官」光臨，巴不得能立刻走避，跑不掉的就只能專心做自己的事，不敢與市長多說話。  其實，柯文哲對警風紀問題相當在意，尤其去年底萬華警分局爆發包庇賭場案、今年初中山警分局又爆發風紀案，讓柯文哲相當震怒。他在15日上午就對媒體說「如果只是一個人的行為，那就是個人行為，但一個派出所被抓那麼多人，顯然是系統性問題，一定要處理。」  資深員警說，每當風紀案爆發後，都會有不少長官來督導，他們早習以為常，但市長親自進駐派出所，且一連四天都到，最長待了三小時、最短也停留半個多小時，這種作法相當罕見，也讓每個員警戰戰兢兢。  除了市長進駐派出所，市警局也展現整飭警風紀決心。中山警分局也在案發後立刻發布員警調動名單，只要在同一派出所任滿三年的警員或任滿兩年的巡佐，全都調整職務。  這一波，中山分局有56人職務異動，中山一派出所甚至一次調動十人。萬華分局武昌街派出所轄區昨天被市警局督察室查獲55台賭博電玩，所長也立即調非主管職缺。  另外，台北市警察局轄下的十四個警分局，最近陸續展開這幾年來最大勤區調整，連偏遠的南港警分局、文山二警分局都開始調整，市警局如此大動作，就是為了宣示這波檢討決心。 中山一派出所爆發風紀案，涉嫌的中山分局中山一派出所所長林崇成（左）等4名官警已被法院裁定羈押。 圖／聯合報系資料照片facebook  其實，柯文哲突然走入派出所並非首遭。去年曾多次趁活動空檔，到中山警分局大直派出所內批公文；去年台大校園暴力事件發生後，羅斯福路派出所所長遭撤換，隔天柯文哲就私下跑到羅斯福路派出所巡視。  另外，台北市信義警分局去年爆發警員栽槍栽毒事件後，柯文哲也親自跑到信義警分局，當著警分局長劉鴻烈的面前拍桌子，大聲斥責要求好好檢討。當時劉鴻烈請辭分局長職務自請處分，但北市警局及柯文哲讓劉繼續留任。  中山警分局爆發貪瀆案後，柯文哲多次親赴中山警局巡視，固然是柯文哲事必躬親的工作態度，但也反映出柯文哲對現今台北市警察局的處理不完全信任，必須到場親自「看一看」才能夠放心。 前警大教授葉毓蘭認為，市長可在進駐派出所時了解員警需求。 圖／聯合報系資料照片facebook   銘傳大學犯罪防治系講座教授兼系主任黃富源說，柯文哲的做法確實很創新，但除非能長期進駐一年，並具備整頓風紀案的專業，否則短期進駐成效有限。  黃富源說，以犯罪學理論的犯罪轉移（Displacement Effect of Crime）來看，市長坐在派出所，不會看到風紀案在眼前發生，因為犯罪會隨著時間、地點和類型轉移，要整頓風紀案必須有系統和完整計劃來預防。 前警大教授葉毓蘭指出，過去沒見過市長會在風紀案爆發後進駐派出所，他相信柯文哲出自善意，很想參與整頓警風紀的案件，但不如了解派出所員警的需求，像避免派出所「拉贊助」，例如警友會會導致派出所與地方人士過多金錢接觸，或給予年輕員警承租便宜的社會住宅。  葉毓蘭表示，如果租不起轄區高價的房子的員警遇上誘惑，是否會因此鋌而走險收賄？柯文哲進駐派出所內應多了解這些員警心聲，否則單坐在派出所沒有意義。 "
"t_title938","雙城論壇避選舉干擾 可能6或12月辦","2018-03-22 00:48"," 北市府舉辦雙城論壇的時間點，可能選在6月或12月。 圖／聯合報系資料照片分享  facebook    針對雙城論壇舉辦的進程，台北市政府表示，一切仍在幕僚作業中；市府高層評估，預估四月底後局勢才會明朗，六月或十二月舉辦都有可能。 市府高層強調，柯文哲的態度很清楚，若能辦雙城論壇，一定會辦，台北市副市長林欽榮去年兩度率團訪陸，但今年適逢大陸對台辦人事異動，近幾次接觸遭「已讀不回」，或對於舉辦與否回稱「說不準」。 據了解，為避開選舉爭議，北市府目前傾向兩個時間點舉辦雙城論壇，一是六月，待各政黨的台北市長提名布局確認，其次是投票結束後的十二月。不過，高層也說，對岸態度也是關鍵，目前要等大陸人事異動底定，預估四月後局勢才會明朗。 市府幕僚指出，兩岸關係急凍，中央政府難道不想保留雙城論壇這道「氣窗」？何況陸委會主委陳明通的態度很清楚，雙城論壇定位在「城市交流」，中央應不會故意卡關。 柯文哲早將原本在市府研考會下的「大陸小組」，拉高「直屬市長」，並親自擔任召集人，專家代表藍綠都有，包括澳門理工學院名譽教授邵宗海、台灣戰略模擬學會張榮豐、淡江陸研所副教授張五岳，以及陳明通等人。 大陸小組委員透露，陳明通開會出席率很高，二○一五年至今出席六次，開會時對雙城論壇從未反對；不過，因目前雙城論壇還不明朗，今年尚未開會。他說，陳明通過去曾提醒柯文哲發言應注意、小心，不要製造兩岸衝突。"
"t_title939","雙城論壇喊卡？ 北市府：沒這回事","2018-03-21 14:33","  台北市及上海市輪流主辦的「雙城論壇」今年應在台北市舉行，台北市長柯文哲對外透露，陸委會不准上海台辦主任李文輝入境。陸委會主委陳明通今天表示，如果李文輝要來談雙城交流的事，就提出申請，「開大門、走大路，我的大門是開的，你不要再去找小門，走大門進來，這才是大國的風範。」 陳明通上午到立法院內政委員會備詢，媒體詢問他今天是以陳教授或陳主委身分來？陳明通說，「陳主委才能到這裡來。」他說，陳教授過去非常努力，在國際與國內期刊發表多篇兩岸關係的論文，這個是一個「公共財」，陳主委當然可以參考研究成果。 媒體詢問，若依此邏輯，「蔡總統是否不能夠回覆蔡主委（蔡英文曾任陸委會主委）或蔡主席的話？」陳明通說，「陳主委沒有資格回答這個問題。」 媒體詢問，是否因為兩岸關係，恐讓我國無法出席WHA成為常態？陳明通說，他到陸委會任職，最主要是促進兩岸的溝通與對話，最重要的目標是能夠恢復台海安全、兩岸共存共榮，往這個方向努力，是他的職責所在。 陳明通表示，他一再呼籲，希望對岸能將心比心、換位思考，了解台灣人民的心聲，兩岸才有辦法追求一個共存共榮的願景。 若台灣今年最終無法收到WHA邀請函，政府如何因應？陳明通說，這是一個國家的政策有整體考量，陸委會的工作就是穩定兩岸發展。 【記者陳靖宜／台北報導】由台北、上海輪流舉辦的雙城論壇，今年依例將在台北舉辦，不過卻有週刊爆料，因選舉年到來政治問題敏感，因此今年雙城論壇將喊卡。對此今早台北市政府發言人劉奕霆出面反駁「沒有這回事」，目前雙城的幕僚人員都還在洽談中，北市府從未透過官方發言管道向外透露不辦雙城論壇。 "
"t_title940","柯文哲競選經費 北市府：公開透明有明細","2018-03-20 21:31"," 台北市議員參選人蕭亞譚受訪提到柯文哲（左）曾提及有拿錢給姚立明（右）等人。 聯合報系資料照／記者黃義書攝影分享  facebook   民進黨籍台北市議員參選人蕭亞譚今天接受專訪提到，擔任市長柯文哲競選辦公室主任期間，柯文哲曾提及有拿錢給姚立明等人。市府發言人劉奕霆說，當時選舉費用有明細，一切公開。 參加民進黨市議員初選的參選人蕭亞譚接受「蔻蔻早餐」專訪時提到，自己擔任柯文哲在2014年競選辦公室主任期間，柯文哲曾提過有提供新台幣50萬元給當時的選舉總幹事、現任國會觀察基金會董事長姚立明，但姚立明拒收。 蕭亞譚提到，柯文哲事後接著告知，姚立明不收，但某人卻收下費用，並反問蕭亞譚，原因為何？蕭亞譚在專訪時說，收取費用的某人還在行政院當政務官。 但主持人周玉蔻表示，問過行政院發言人徐國勇，徐國勇轉述行政院政務委員張景森說法，否認這回事，認為蕭亞譚是為初選胡扯蛋。 台北市政府發言人劉奕霆晚間表示，關於蕭亞譚專訪內容，柯文哲在2014競選市長期間，確實有規劃相關人員薪資費用，當時任職競選總幹事的姚立明表示不支薪，所以未領取該筆費用，張景森也同樣未領取該筆薪資費。 劉奕霆說，蕭亞譚在2014選戰初期曾擔任競總辦公室主任，但選戰中期就離開競選團隊，加上沒有管理財務，不了解事情全貌，且當時選舉相關費用皆有明細資料，一切公開透明。"
"t_title941","李文輝被禁入台 雙城卡關？ 柯P：李來台不只談雙城","2018-03-20 12:22"," 台北與上海的雙城論壇今年將於北市舉辦卻出現卡關情況，台北市長柯文哲昨擔心，上海市台辦主任李文輝因陸委會不准而被禁止入境，造成北市想辦卻不知怎麼去談判；不過，陸委會則稱沒接獲李相關申請。柯今早出席活動解釋，李文輝來台不是用雙城論壇為理由、李來台灣不會只討論雙城。 柯文哲今天邀前市長郝龍斌於市府同台宣布YouBike轉乘優惠5元等政策，針對雙城論壇，郝龍斌致詞時指出，很多北市府政策都是透過一棒交一棒才成就，包含這兩天吵很兇得雙城論壇也是，他始終覺得兩岸要多溝通交流，雙城最具體的成果、紅利就是松山機場與上海虹橋的直航。 郝龍斌說，最近看到民進黨政府不讓對方代表(上海市台辦主任李文輝)來台洽商，是非常不妥當的事情；兩岸的和平穩定，可透過城市交流增加了解、減少誤解，他絕對支持柯文哲繼續把雙城論壇辦下去，希望民進黨在這件事情上能大開大闔，讓兩岸順利交流、創造雙贏。 對於李文輝被禁止入境一事，柯文哲受訪說，李文輝來台灣不會只討論雙城，常是其他事件來台後，然後北市府會找個地方順便交換對雙城的意見，所以李從頭到尾從沒有用「我要去台灣討論雙城論壇」的理由去申請入台。 有媒體詢問雙城論壇卡關是否在於上海沒向陸委會提出申請。柯文哲回應，不是啦，雙城是「雙」，不是單城論壇，要辦也要大家都方便，這也不是上海就可以決定的，上海還得去問北京。 媒體追問民進黨與中央政府態度也被視為卡關因素，柯文哲則反問媒體「你是哪一台的？」隨後說，「不急啦，時間可以解決一切。」 柯也強調，他對雙城論壇的態度不是統獨意識，而是減少衝突、降低緊張原則下，維持一個善意的交往，「總比大家越來越僵要好」，北市將維持善意續辦的立場。上海市台辦主任李文輝傳出因陸委會不准而被禁止入境、害雙城論壇卡關，柯今早受訪說，李文輝來台不是用雙城論壇為理由、來台不會只討論雙城。記者翁浩然／攝影分享  facebook   "
"t_title942","悠遊卡綁銀行帳戶自動加值 捷運閘門等例外","2018-03-19 14:52"," 即日起，一般悠遊卡只要綁定銀行帳戶，可比照悠遊聯名卡享有自動加值功能，不過，只能在北捷悠遊卡加值機或超商等使用，捷運、高鐵等閘門無法自動加值。 L台北市長柯文哲（前排左2）19日在市府大樓出席悠遊卡帳戶連結啟動記者會，與悠遊卡公司董事長林向愷（前排右2）邀請多家銀行代表出席與會，力推悠遊卡與銀行帳戶設定連結，提供無信用卡族群自動加值的便利服務。 中央社分享  facebook   悠遊卡公司與12家銀行簽約，持記名的造型卡、普通卡、學生卡、優待卡、敬老愛心卡及各縣市政府核發的市民卡，可向銀行申請綁定金融帳戶，而第一階段可提供自動加值功能的為台北富邦銀行、新光銀行及兆豐銀行。 民眾綁定金融帳戶後，要到北捷悠遊卡加值機（AVM）或全家便利商店FamiPort機台感應啟動自動加值功能，才可享有服務，可選擇加值新台幣500元或1000元、每日最高金額3000元，每個存款帳戶最高可加值3萬元。 悠遊卡公司表示，每張悠遊卡限定綁定一個金融帳戶；記名卡與帳戶同為本人，一個金融帳戶不限綁定張數；若記名卡與帳戶不同人，持卡人與帳戶所有人須為配偶、直系血親或監護人。台北市長柯文哲（前左）19日在市府大樓出席悠遊卡帳戶連結啟動記者會，與悠遊卡公司董事長林向愷（前右）在會後交換意見。 中央社分享  facebook    不過，儘管啟動功能，當餘額不足時，民眾只能在支應小額消費的場所及北捷加值機自動加值，捷運、高鐵等閘門無法自動加值。悠遊卡公司說明，綁定金融帳戶後加值時會直接從帳戶扣款，機器連線才可行，交通工具閘門採離線作業，所以無法使用。 劉姓民眾使用悠遊聯名卡已久，他說，使用聯名卡搭乘捷運時，餘額不足百元會自動加值500元，而一般悠遊卡只能在機台操作自動加值，便利性不大；陳姓民眾使用一般悠遊卡，表示自動加值只限機台或超商等通路的話，跟現金加值時間沒差多少，「自動加值就是想要省時間，無障礙通過閘門啊！」 台北市長柯文哲今天出席悠遊卡連結金融帳戶記者會，會後受訪表示，台北市要邁向智慧金融城市，必須要做到無現金交易，「俗語來講就是銅板跟紙鈔從台北市消失。」笑說與銀行帳戶連結後，帳戶內有錢才能使用。比較安全，否則亂刷信用卡，反而會變卡奴。台北市長柯文哲（圖）19日在市府大樓出席悠遊卡帳戶連結啟動記者會，力推悠遊卡與銀行帳戶設定連結，提供無信用卡族群自動加值的便利服務，讓台北市走向智慧支付的城市。 中央社分享  facebook   "
"t_title943","3年砸10億 北市推E化學習","2018-03-18 23:32"," 柯文哲昨與高中生所繪的柯文哲「笑像」合影。 記者陳靖宜／攝影分享  facebook    高中職博覽會昨天在花博登場，台北市67所高中職校擺設招生攤位，吸引上萬名學生到場參觀，探索符合志趣的升學方向。 台北市長柯文哲也到場瀏覽各攤位，並與學生一起製作鋼筆。他說，台北市未來3年投入約10億元經費，為台北市每所學校建設「速度夠快」的無線網路，並著手推動讓國小三年級以上學生可人人有ipad、notebook等、全面Ｅ化學習，除了Ｅ化設備外，未來也預估投入約6億元更新高職實習工廠設備。 柯文哲說，近年來台北市推動雙語教育、實驗教育，而且為了讓台北成為國際城市，下學年度的國際教育預算將增加近6000萬元。 今年優先免試入學5800個名額，比去年增加900個，約有9成報到率，柯文哲表示，數據顯示就近入學對家長與學生選擇高中職校，是比較可以接受的。 特殊教育方面，柯文哲說，過去曾有自閉症學生向他抱怨，特殊生要學的應該是未來社會就業所需要的，而不只是老師能教的，未來特教生教育必須與專業職能結合。 "
"t_title944","台北市立動物園明辦歡送趴 送金剛寶寶赴荷成家","2018-03-17 21:54","   台北市立動物園的型男金剛猩猩「寶寶」即將遠赴荷蘭娶妻生子，脫離黃金單身宅的生活，台北市立動物園18日將為寶寶舉行「天作之荷－寶寶啟程荷蘭歡送暨慶生會」，台北市長柯文哲，荷蘭貿易暨投資辦事處代表紀維德與新光人壽慈善基金會執行長吳欣盈將出席歡送會，祝寶寶一路順風，早生貴子。 與寶寶淵源最深的新光人壽，為慶祝單身宅男「寶寶」舉行婚前「單身趴」，只要拿曾與金剛猩猩「寶寶」合影的照片，即可免費入園參加18日在台北木柵動物園舉辦的歡送活動。 說起「寶寶」與台灣的緣分始於1987年，當時才兩歲，來自非洲喀麥隆的寶寶遭違法走私來台，面臨被遣返的命運，但考量先前同伴不幸在遣返途中離世，讓寶寶的遣送之路凶多吉少，獲悉此事的新光金董事長吳東進，決定捐款12.7萬美元（約新台幣440萬）買下金剛寶寶並贈送給木柵動物園，此後每年四月兒童節前後，新光人壽慈善基金會與動物園均會舉辦金剛慶生保育活動，邀請弱勢兒童暢遊動物園，並頒發「兒癌獎學金」，鼓勵勇敢抗癌的小朋友。 與寶寶緣份深厚的新光人壽，不只依「寶寶」原型設計成新光吉祥物「金寶」，吳欣盈與動物園方在2010年寶寶25歲生日時，也幫牠許下三個心願，分別是「想要一個新家、談戀愛然後妻妾成群！」。 寶寶從2歲來台，陪伴台灣人已有31年之久，渡過許多歡笑與幸福的時刻。新光人壽邀請喜歡寶寶的粉絲們記得保握時間到動物園跟寶寶道別，並參與寶寶離台前的「新猩相惜單身趴」，讓「寶寶」帶著大家的祝福，勇敢飛向荷蘭、奔向妻妾成群的嶄新生活。"
"t_title945","呂秀蓮：應嚴格檢驗柯文哲市政","2018-03-16 21:11"," 表態參選台北市長的前副總統呂秀蓮今（16）日下午拜訪多位民進黨籍台北市議員，她受訪時表示，台北市長柯文哲就任期間讓台北市人口流失，這些都是市長責任，外界應該嚴格檢驗。 中央社分享  facebook    表態參選台北市長的前副總統呂秀蓮今天下午拜訪多位民進黨籍台北市議員，她受訪時表示，台北市長柯文哲就任期間讓台北市人口流失，這些都是市長責任，外界應該嚴格檢驗。 呂秀蓮下午拜訪市議員黃向(群)、梁文傑、顏若芳。她受訪時說，上午到桃園市參加活動後，認為台北和桃園未來可做策略結盟，像是沿機場捷運線蓋社會住宅，並提供給台北市年輕人。 呂秀蓮說，外界不相信她要參選，但其實她很認真準備，並做足台北市政的功課，「台北市地圖目前已印在自己腦袋中。」 呂秀蓮表示，針對台北市長選舉，兼任黨主席的總統蔡英文會審慎注意並以高度政治智慧做出選擇，但假如還是跟4年前一樣禮讓柯文哲，會受到很大政治傷害。她走訪基層時，都聽到支持者希望民進黨可提出人選。 媒體問及柯文哲近期常以直播方式宣導市政，呂秀蓮說，柯文哲享受許多媒體關注，以為躺著就可當選，外界應該要嚴格檢驗柯文哲執政3年的市政。 呂秀蓮說，柯文哲就任期間讓台北市人口逐漸流失、房價升高，這些都是市長責任。她說，她會讓外界看到不一樣的市長參選人，讓台北變成國際大都會。 "
"t_title946","定期票遭質疑 柯文哲：政府沒有那麼白癡","2018-03-15 18:03"," 台北市長柯文哲。 聯合報系資料照片／記者林俊良攝影分享  facebook    雙北共同推出新台幣1280元大眾運輸定期票，引起未編列預算和虧空國庫等質疑。台北市長柯文哲今天指出，市府經財務試算，會提撥停車費收入補貼，「政府沒有那麼白癡」。 針對台北市、新北市的大眾運輸定期票政策，有作家在臉書貼文質疑此舉「虧空國庫」；民進黨台北市議員梁文傑也質疑「政策買票」，並表示議會還沒審查通過這筆預算。 柯文哲出席台北市107年災害防救演習時受訪表示，這次的定期票政策雙北計劃了兩年，透過雙北協調，也經過財務試算，才決定推出。 柯文哲說：「這個我們都算過，怎麼會虧空國庫，政府沒有那麼白癡。這個我們想了很久才推出來的，常常外面搞不清楚就亂講。」 他表示，市府會提撥停車費收入來補貼，「還有一點，我們整個捷運的業外收入都在增加。這個放心好了，對錢我是很小心的人」。 對外界質疑政策買票，柯文哲說，定期票政策是為了解決台北市交通問題。因為台北市的機車和自用車數量都在增加，道路面積卻沒有隨之增加，除了提高公共運輸使用率，沒有其他辦法可以改善交通。"
"t_title947","雙子星二次招商 吸引美日等投資者","2018-03-14 23:30"," 台北車站C1/D1雙子星開發案昨第二次招商說明會，台北市長柯文哲到場致詞，強調雙子星與西區門戶、北車後站發展息息相關。 記者翁浩然／攝影分享  facebook    北市府昨也舉辦台北車站C1/D1雙子星開發案第二次招商說明會，吸引國內及美國、日本、香港等200多位潛在投資者參加。 北市府捷運局主辦的台北車站C1/D1雙子星開發案，昨在捷運行政大樓舉辦第二次招商說明會，由副市長林欽榮(右二)主持。 記者翁浩然／攝影分享  facebook    市長柯文哲說，西區門戶計畫讓雙子星賣相變好，為了更好，他會讓北車後站地區優先辦理都更。 擔任招商顧問的仲量聯行總經理趙正義說，避免重演過去太極雙星弊案，雙子星重新招商相當重視財務能力，如投資者最近1年內淨利不可低於160億元、近10年單一件案實績需達100億元以上或累積達300億元。 "
"t_title948","想一想再丟！那些限塑時代不能丟的寶貝","2018-03-14 10:00","   未來喝珍珠奶茶，可能無法再用塑膠吸管，必須以不繡鋼或玻璃吸管替代。看好「限塑」商機，購物及募資平台的環保產品顯著增加，不但有環保天燈，竹吸管甚至不到3個月便吸引800多位民眾集資。政府禁用塑膠袋、塑膠吸管，儼然促成另類環保商機。 網路購物平台《Pinkoi》公關邱佳葦表示，今年一月新政上路不到10天，平台上就賣出破5千個環保飲料提袋，是過去環保商品銷售成績的2倍以上；因應民眾需求大增，平台也成立「塑膠袋掰掰」專區，讓民眾更方便選購。另外，原本主力做髮帶、布包等布類商家，也嗅到環保商機，紛紛投入環保商品製作。 除了常見的布質提袋，邱佳葦表示，平台上還有業者推出「潛水衣材質」做的飲料提袋。夏天飲料很冰，布袋往往會濕透，潛水衣材質不僅可吸濕，冬天還可以稍微保溫與防震，成為環保特殊商品。  不只購物平台，網路上集資平台也刮起環保風。募資平台《flyingＶ》行銷總監呂岱芸表示，過去每季提案的20件產品中，環保相關產品相對少見，但從去年下半年起，平台環保相關提案即有明顯成長，每次都會出現2件左右的環保相關產品，環保商品開發逐漸成為商機。 呂岱芸說，過去民眾普遍認為環保意識離自己較遠，隨著時代演進，民眾對環保商品的接受度越來越高，因此平台上出現的環保產品提案種類越來越多元。 呂岱芸說今年平台也推出「環保天燈」，過去天燈燃放至天空後，等燃油耗盡，天燈飄落地面成為垃圾，不只造成居民困擾，也是生態隱憂。今年平台推出「環保天燈」，新款天燈燃放至空中後，將完全燒盡，不會留下任何垃圾。 羅盛彥、陳乃韻把選舉後將被丟掉的廣告帆布做成收納袋。 圖／CULTU-RE提供分享  facebook     每到選舉年，參選人紛紛在大街小巷掛起競選布條，一個比一個大；但投票日一過，這些競選文宣即變成城市垃圾，清都清不完。 「CULTU-RE文化實驗」創辦人羅盛彥、陳乃韻專收別人不要的垃圾，透過設計把廢物變黃金，因此選後用不到的競選帆布，就成為這對夫妻眼中的寶貝。 陳乃韻說，3年多前台北市長一選完，她就到柯文哲競選總部索取即被將丟棄的廣告帆布，帶回家後，把大大張的廣告，裁成小小塊的布，做成一個個收納袋。 羅盛彥則把傳統市場裡常見的水果紙箱當素材，做成一本本筆記簿。兩個30多歲的年輕夫妻，不定時穿梭在傳統市場、回收廠等地的垃圾堆，翻找菜商不要的紙箱，一張張裁剪做成筆記本。 羅盛彥、陳乃韻專門到市場收攤販不要的紙箱，回來加工做成商品。記者陳靖宜／請 陳靖宜分享  facebook    除了廢棄紙箱，羅盛彥、陳乃韻也將過期的日曆做成筆記本。圖／CULTU-RE提供 陳靖宜分享  facebook    不要的衣服只要花五分鐘也能變成環保袋。 圖／CULTU-RE提供分享  facebook     「慢一點再丟！」有別於強調快速、大量生產的商品文化，羅盛彥想透過思考，為每一樣將被丟棄的垃圾改造再出發，帶來更多「慢時尚」。 拿起夫妻兩人設計的回收紙筆記本，上面有市場上常見的水果紙箱圖案，褐色紙面上有簡單配色的水果圖案，一旁配上「白娘蘿蔔」、「品質保證、分級包裝」的字樣，滿滿都是台灣人的共同回憶。 每本筆記簿雖然外觀不同，但做工皆整齊劃一，讓人以為他們有固定合作的印刷廠、開版大量製作。陳乃韻笑說，這些「垃圾紙」材質不一、量又少，大部分印刷廠都怕機器被弄壞，沒有一間敢接他們的生意，因此每本筆記本都靠夫妻二人手工裁量、封裝。 記者實地走訪兩人位於汐止的工作室，30坪不到的小空間，是居家環境也是產品工廠。羅盛彥笑說，台北市租金太貴了，為了節省創業成本，兩人把工作、生活結合在一起，要應付每月破百件且持續成長的筆記本訂單，常常睡醒一睜開眼就要連續工作10多個小時。這間工作室生意最好時，一個月可賺進9萬多元。 元泰竹藝社二代接班人林家宏為響應環保，花了兩年時間找適合做成吸管的竹質，終於做成環保竹吸管。圖／元泰竹藝社提供 陳靖宜分享  facebook     明年起政府將著手「限吸管」，不鏽鋼、玻璃製吸管將漸取而代之。早在「限管」前，傳統竹藝社二代接班人林家宏已著手打造「竹吸管」，有別於市場上常看到的不鏽鋼與玻璃吸管，林家宏花了兩年多時間找到適合當吸管的竹質，不止想推廣環保，也想重整家中逐漸沒落的傳統竹藝產業。 林家宏打造的竹吸管在網路募資平台《flying V》發起募資，不到3個月便吸引800多位民眾集資超過50萬，希望催生出環保的竹製吸管。"
"t_title949","柯P點名竹市發放敬老津貼 竹市社會處：沒有評論","2018-03-13 16:41"," 柯文哲（右）今與社會局長許立民（左）在臉書直播便當餐會，針對取消發放重陽敬老津貼，柯文哲數度說「這個（重陽敬老金）收買選票太有效了」。圖擷自柯文哲臉書分享  facebook    台北市長柯文哲一上任就取消發放重陽敬老津貼，當時引起外界議論，柯文哲今與台北市社會局長許立民在臉書直播便當餐會，提及此事，柯文哲數度說「這個（重陽敬老金）收買選票太有效了」，還點名新竹市，他說新竹市發重陽敬老金2千元，有的縣市還發到3千元。 新竹市府社會處針對柯文哲言論回應，新竹市重陽敬老禮金由來已久，發放至今已逾20年，代表一份心意，希望表達對於長輩們的尊敬，並且感謝他們過去對於城市發展的打拚和貢獻，「對於柯市長的意見，我們沒有評論」。"
